7 Z: 0.99)
LSM6DSO | Gyro: (X: -67.18 Y: -8.98 Z: 37.20) | Accl: (X: 0.25 Y: -0.51 Z: 0.97)
LSM6DSO | Gyro: (X: -68.59 Y: -4.49 Z: 37.62) | Accl: (X: 0.24 Y: -0.52 Z: 1.01)
LSM6DSO | Gyro: (X: -28.67 Y: 2.19 Z: 29.53) | Accl: (X: 0.27 Y: -0.58 Z: 1.05)
LSM6DSO | Gyro: (X: -24.39 Y: 2.23 Z: 25.80) | Accl: (X: 0.29 Y: -0.56 Z: 1.00)
LSM6DSO | Gyro: (X: -22.89 Y: 4.60 Z: 20.68) | Accl: (X: 0.31 Y: -0.54 Z: 0.97)
LSM6DSO | Gyro: (X: -12.77 Y: 3.53 Z: -9.35) | Accl: (X: 0.12 Y: -0.57 Z: 1.07)
LSM6DSO | Gyro: (X: -6.17 Y: 3.16 Z: -7.66) | Accl: (X: 0.07 Y: -0.57 Z: 1.08)
LSM6DSO | Gyro: (X: 2.59 Y: 0.17 Z: -4.37) | Accl: (X: 0.06 Y: -0.58 Z: 1.07)
LSM6DSO | Gyro: (X: 46.91 Y: -14.48 Z: -19.11) | Accl: (X: 0.32 Y: -0.60 Z: 1.27)
LSM6DSO | Gyro: (X: 66.24 Y: -17.53 Z: -31.94) | Accl: (X: 0.34 Y: -0.62 Z: 1.23)
LSM6DSO | Gyro: (X: 79.28 Y: -23.28 Z: -42.17) | Accl: (X: 0.33 Y: -0.61 Z: 1.21)
LSM6DSO | Gyro: (X: 151.78 Y: -53.72 Z: -77.42) | Accl: (X: 0.23 Y: -0.53 Z: 1.30)
LSM6DSO | Gyro: (X: 163.70 Y: -53.65 Z: -78.51) | Accl: (X: 0.20 Y: -0.50 Z: 1.26)
LSM6DSO | Gyro: (X: 181.24 Y: -60.14 Z: -80.48) | Accl: (X: 0.18 Y: -0.44 Z: 1.25)
LSM6DSO | Gyro: (X: 193.39 Y: -96.85 Z: -76.10) | Accl: (X: 0.28 Y: -0.11 Z: 0.73)
LSM6DSO | Gyro: (X: 177.68 Y: -72.81 Z: -75.82) | Accl: (X: 0.28 Y: 0.01 Z: 0.73)
LSM6DSO | Gyro: (X: 173.25 Y: -54.57 Z: -72.51) | Accl: (X: 0.22 Y: 0.16 Z: 0.68)
LSM6DSO | Gyro: (X: 89.29 Y: -17.25 Z: -23.47) | Accl: (X: 0.23 Y: 0.39 Z: 0.68)
LSM6DSO | Gyro: (X: 77.69 Y: -17.43 Z: -16.62) | Accl: (X: 0.26 Y: 0.30 Z: 0.69)
LSM6DSO | Gyro: (X: 64.50 Y: -20.48 Z: -14.23) | Accl: (X: 0.36 Y: 0.31 Z: 0.87)
LSM6DSO | Gyro: (X: 86.73 Y: -21.11 Z: -28.71) | Accl: (X: 0.39 Y: 0.50 Z: 0.75)
LSM6DSO | Gyro: (X: 78.50 Y: -25.67 Z: -27.21) | Accl: (X: 0.35 Y: 0.48 Z: 0.61)
LSM6DSO | Gyro: (X: 65.54 Y: -19.92 Z: -23.02) | Accl: (X: 0.38 Y: 0.48 Z: 0.62)
LSM6DSO | Gyro: (X: 50.66 Y: -4.15 Z: -19.16) | Accl: (X: 0.35 Y: 0.57 Z: 0.67)
LSM6DSO | Gyro: (X: 46.63 Y: 0.84 Z: -15.09) | Accl: (X: 0.34 Y: 0.57 Z: 0.62)
LSM6DSO | Gyro: (X: 37.62 Y: 1.65 Z: -9.06) | Accl: (X: 0.34 Y: 0.59 Z: 0.58)
LSM6DSO | Gyro: (X: 24.89 Y: -1.81 Z: -5.41) | Accl: (X: 0.41 Y: 0.60 Z: 0.71)
LSM6DSO | Gyro: (X: 26.40 Y: -0.35 Z: -5.99) | Accl: (X: 0.40 Y: 0.61 Z: 0.66)
LSM6DSO | Gyro: (X: 23.36 Y: -3.62 Z: -6.22) | Accl: (X: 0.40 Y: 0.63 Z: 0.62)
LSM6DSO | Gyro: (X: -16.35 Y: 12.34 Z: 3.07) | Accl: (X: 0.33 Y: 0.65 Z: 0.59)
LSM6DSO | Gyro: (X: -20.21 Y: 19.64 Z: 8.26) | Accl: (X: 0.31 Y: 0.65 Z: 0.59)
LSM6DSO | Gyro: (X: -24.96 Y: 28.17 Z: 14.87) | Accl: (X: 0.30 Y: 0.66 Z: 0.56)
LSM6DSO | Gyro: (X: -85.16 Y: 42.19 Z: 25.95) | Accl: (X: 0.34 Y: 0.57 Z: 0.56)
LSM6DSO | Gyro: (X: -102.35 Y: 40.73 Z: 22.50) | Accl: (X: 0.36 Y: 0.47 Z: 0.60)
LSM6DSO | Gyro: (X: -112.34 Y: 49.88 Z: 19.81) | Accl: (X: 0.35 Y: 0.47 Z: 0.69)
LSM6DSO | Gyro: (X: -121.52 Y: 27.58 Z: 10.62) | Accl: (X: 0.30 Y: 0.27 Z: 0.71)
LSM6DSO | Gyro: (X: -129.69 Y: 39.08 Z: 12.60) | Accl: (X: 0.28 Y: 0.24 Z: 0.84)
LSM6DSO | Gyro: (X: -125.89 Y: 46.59 Z: 12.73) | Accl: (X: 0.27 Y: 0.27 Z: 0.90)
LSM6DSO | Gyro: (X: -147.14 Y: 41.84 Z: 11.03) | Accl: (X: 0.23 Y: 0.11 Z: 0.81)
LSM6DSO | Gyro: (X: -149.21 Y: 44.41 Z: 11.99) | Accl: (X: 0.23 Y: 0.05 Z: 0.90)
LSM6DSO | Gyro: (X: -149.19 Y: 47.43 Z: 11.19) | Accl: (X: 0.18 Y: 0.02 Z: 0.95)
LSM6DSO | Gyro: (X: -145.73 Y: 59.26 Z: 14.96) | Accl: (X: 0.12 Y: -0.07 Z: 1.05)
LSM6DSO | Gyro: (X: -130.59 Y: 45.03 Z: 32.49) | Accl: (X: -0.02 Y: -0.19 Z: 1.01)
LSM6DSO | Gyro: (X: -129.66 Y: 33.42 Z: 38.66) | Accl: (X: -0.00 Y: -0.19 Z: 1.00)
LSM6DSO | Gyro: (X: -127.82 Y: 34.91 Z: 47.01) | Accl: (X: 0.06 Y: -0.25 Z: 1.04)
LSM6DSO | Gyro: (X: -116.65 Y: 13.00 Z: 40.35) | Accl: (X: 0.05 Y: -0.43 Z: 0.94)
LSM6DSO | Gyro: (X: -107.49 Y: 17.33 Z: 41.12) | Accl: (X: 0.07 Y: -0.50 Z: 0.98)
LSM6DSO | Gyro: (X: -105.13 Y: 16.91 Z: 37.17) | Accl: (X: 0.10 Y: -0.51 Z: 1.08)
LSM6DSO | Gyro: (X: -37.21 Y: -4.69 Z: 1.77) | Accl: (X: 0.10 Y: -0.60 Z: 1.02)
LSM6DSO | Gyro: (X: -35.28 Y: -9.05 Z: 0.36) | Accl: (X: 0.06 Y: -0.61 Z: 0.96)
LSM6DSO | Gyro: (X: -35.53 Y: -12.62 Z: 1.83) | Accl: (X: 0.03 Y: -0.63 Z: 0.96)
LSM6DSO | Gyro: (X: -6.15 Y: -9.91 Z: 12.77) | Accl: (X: 0.05 Y: -0.70 Z: 1.06)
LSM6DSO | Gyro: (X: 1.06 Y: -8.30 Z: 14.55) | Accl: (X: 0.08 Y: -0.69 Z: 1.00)
LSM6DSO | Gyro: (X: 5.30 Y: -10.18 Z: 13.09) | Accl: (X: 0.11 Y: -0.68 Z: 0.97)
